State Code,District Code,Sub-District Code,Sub-District Name (In English)
28,743,4813,Makkuva
28,747,4938,Malikipuram
28,747,4936,Mamidikuduru
28,505,4920,Mandapeta
28,519,4776,Mandasa
28,748,5015,Mandavalli
28,506,5055,Mangalagiri
28,511,5250,Mantralayam
28,515,5183,Manubolu
28,791,4884,Maredumilli
28,790,5115,Markapuram
28,515,5163,Marripadu
28,517,5129,Marripudi
28,750,5106,Martur
28,506,5073,Medikonduru
28,519,4774,Meliaputti
28,521,4824,Mentada
28,521,4822,Merakamudidam
28,755,5267,Midthur
28,523,4986,Mogalthur
28,510,5036,Mopidevi
28,510,5032,Movva
28,504,5216,Muddanur
28,754,5339,Mudigubba
28,748,5020,Mudinepalle
28,520,6839,Mulagada
28,753,5367,Mulakalacheruvu
28,747,4932,Mummidivaram
28,744,4877,Munagapaka
28,745,4841,Munchingi Puttu
28,517,5113,Mundlamuru
28,751,5068,Muppalla
28,748,5002,Musunuru
28,515,5181,Muthukur
28,504,5200,Mylavaram
28,749,4995,Mylavaram
28,751,5069,Nadendla
28,752,5403,Nagalapuram
28,750,5095,Nagaram
28,503,5406,Nagari
28,510,5038,Nagayalanka
28,517,5126,Naguluppala Padu
28,752,5194,Naidupet
28,744,4880,Nakkapalli
28,754,5359,Nallachervu
28,505,4956,Nallajerla
28,754,5344,Nallamada
28,754,5341,Nambulapulakunta
28,504,5243,Nandalur
28,511,5255,Nandavaram
28,519,4782,Nandigam
28,749,4993,Nandigama
28,755,5260,Nandikotkur
28,510,5014,Nandivada
28,755,5284,Nandyal Rural
28,755,7425,Nandyal Urban
28,519,4799,Narasannapeta
28,523,4987,Narasapuram
28,751,5067,Narasaraopet
28,752,5400,Narayanavanam
28,502,5328,Narpala
28,744,4854,Narsipatnam
28,744,4852,Nathavaram
28,751,5060,Nekarikallu
28,521,4837,Nellimarla
28,515,5177,Nellore Rural
28,515,7182,Nellore Urban
28,505,4960,Nidadavole
28,748,4968,Nidamarru
28,753,5393,Nimmanapalle
28,503,5404,Nindra
28,750,5094,Nizampatnam
28,751,5063,Nuzendla
28,748,5003,Nuzividu
28,754,5358,Obuladevaracheruvu
28,752,5248,Obulavaripalle
28,517,5139,Ongole Rural
28,517,7430,Ongole Urban
28,511,5268,Orvakal
28,755,5295,Owk
28,752,5189,Ozili
28,743,4818,Pachipenta
28,745,4847,Paderu
28,520,4864,Padmanabham
28,755,5261,Pagidyala
28,752,5396,Pakala
28,523,4977,Palacoderu
28,523,4988,Palacole
28,743,4784,Palakonda
28,503,5422,Palamaner
28,519,4775,Palasa
28,503,5432,Palasamudram
28,510,5028,Pamarru
28,502,5315,Pamidi
28,510,5026,Pamidimukkala
28,755,5266,Pamulapadu
28,790,5146,Pamur
28,755,5280,Panyam
28,744,4870,Paravada
28,750,5108,Parchur
28,754,5355,Parigi
28,743,4812,Parvathipuram
28,519,4773,Pathapatnam
28,511,5290,Pattikonda
28,744,4881,Payakaraopeta
28,755,5294,Peapully
28,745,4842,Peda Bayalu
28,790,5144,Pedacherlo Palle
28,520,4868,Pedagantyada
28,506,5075,Pedakakani
28,751,5057,Pedakurapadu
28,510,5030,Pedana
28,506,5082,Pedanandipadu
28,748,4965,Pedapadu
28,510,5022,Pedaparupudi
28,746,4915,Pedapudi
28,748,4964,Pedavegi
28,790,5101,Peddaaraveedu
28,511,5253,Pedda Kadubur
28,753,5369,Peddamandyam
28,504,5201,Peddamudiam
28,503,5416,Peddapanjani
28,502,5314,Peddapappur
28,746,4903,Peddapuram
28,753,5390,Pedda Thippasamudram
28,502,5311,Peddavaduguru
28,752,5195,Pellakur
28,752,5244,Penagalur
28,510,5024,Penamaluru
28,504,5232,Pendlimarry
28,520,4862,Pendurthi
28,523,4969,Pentapadu
28,749,4992,Penuganchiprolu
28,523,4980,Penugonda
28,754,5356,Penukonda
28,523,4978,Penumantra
28,503,5409,Penumur
28,505,4971,Peravali
28,747,4934,P.Gannavaram
28,506,5072,Phirangipuram
28,752,5401,Pichatur
28,751,5047,Piduguralla
28,753,5386,Pileru
28,746,4911,Pithapuram
28,750,5091,Pittalavanipalem
28,515,5176,Podalakur
28,790,5120,Podili
28,523,4982,Poduru
28,519,4800,Polaki
28,748,4949,Polavaram
28,519,4803,Ponduru
28,517,5143,Ponnaluru
28,506,5084,Ponnur
28,521,4838,Poosapatirega
28,504,5208,Porumamilla
28,746,4900,Prathipadu
28,506,5081,Prathipadu
28,504,5214,Proddutur
28,503,5395,Pulicherla
28,504,5219,Pulivendula
28,790,5098,Pullalacheruvu
28,752,5247,Pullampeta
28,753,5415,Punganuru
28,503,5410,Puthalapattu
28,502,5326,Putlur
28,754,5357,Puttaparthy
28,752,5407,Puttur
28,790,5132,Racherla
28,521,4796,Rajam
28,505,4907,Rajamahendravaram Rural
28,505,4906,Rajamahendravaram Urban
28,504,5246,Rajampet
28,505,4908,Rajanagaram
28,791,4888,Rajavommangi
28,751,5059,Rajupalem
28,504,5202,Rajupalem
28,521,4819,Ramabhadrapuram
28,752,5398,Ramachandrapuram
28,747,4924,Ramachandrapuram
28,754,5348,Ramagiri
28,503,5428,Ramakuppam
28,753,5241,Ramapuram
28,753,5414,Ramasamudram
28,744,4883,Rambilli
28,791,4895,Rampachodavaram
28,519,4805,Ranastalam
28,505,4909,Rangampeta
28,502,5331,Rapthadu
28,515,5175,Rapur
28,744,4856,Ravikamatham
28,747,4926,Ravulapalem
28,753,5239,Rayachoti
28,502,5305,Rayadurg
28,505,4921,Rayavaram
28,747,4937,Razole
28,749,4999,Reddigudem
28,521,4786,Regidi Amadalavalasa
28,752,5376,Renigunta
28,751,5043,Rentachintala
28,750,5096,Repalle
28,754,5349,Roddam
28,754,5353,Rolla
28,744,4855,Rolugunta
28,751,5066,Rompicharla
28,503,5373,Rompicherla
28,746,4891,Rowthulapudi
28,755,5297,Rudravaram
28,744,4861,Sabbavaram
28,747,4939,Sakhinetipalli
28,743,4817,Salur
28,746,4910,Samalkota
28,753,5237,Sambepalle
28,515,5171,Sangam
28,755,5300,Sanjamala
28,746,4892,Sankhavaram
28,519,4790,Santhabommali
28,521,4795,Santhakaviti
28,517,5104,Santhamaguluru
28,517,5138,Santhanuthala Padu
28,503,5425,Santhipuram
28,519,4788,Saravakota
28,519,4793,Sarubujjili
28,751,5058,Sattenapalli
28,752,5402,Satyavedu
28,751,5064,Savalyapuram H/O Kanamarlapudi
28,520,6836,Seethammadhara
28,743,4770,Seethampeta
28,505,4896,Seethanagaram
28,743,4814,Seethanagaram
28,515,5153,Seetharamapuram
28,502,5332,Settur
28,504,5229,Sidhout
28,504,5217,Simhadripuram
28,502,5325,Singanamala
28,517,5149,Singarayakonda
28,755,5286,Sirvel
28,504,5204,S.Mydukur
28,753,5394,Sodam
28,753,5412,Somala
28,754,5363,Somandepalli
28,519,4780,Sompeta
28,744,4882,S.Rayavaram
28,504,5206,Sri Avadhutha Kasinayana
28,519,4802,Srikakulam
28,752,5378,Srikalahasti
28,503,5419,Srirangarajapuram
28,755,6538,Srisailam
28,521,4831,Srungavarapukota
28,752,5197,Sullurpeta
28,515,5185,Sydapuram
28,752,5198,Tada
28,506,5054,Tadepalli
28,523,4961,Tadepalligudem
28,506,5056,Tadikonda
28,754,5338,Tadimarri
28,502,5313,Tadipatri
28,505,4950,Tallapudi
28,746,4930,Tallarevu
28,754,5340,Talupula
28,754,5360,Tanakal
28,517,5141,Tangutur
28,523,4972,Tanuku
28,790,5118,Tarlupadu
28,519,4789,Tekkali
28,506,5078,Tenali
28,517,5121,Thallur
28,753,5368,Thamballapalle
28,503,5418,Thavanampalle
28,521,4821,Therlam
28,746,4901,Thondangi
28,504,5221,Thondur
28,515,5180,Thotapalligudur
28,510,5025,Thotlavalluru
28,752,5379,Thottambedu
28,506,5053,Thulluru
28,752,5375,Tirupati (Rural)
28,752,5383,Tirupati (Urban)
28,749,4997,Tiruvuru
28,748,4946,T.Narasapuram
28,790,5099,Tripuranthakam
28,504,5238,T.Sundupalle
28,750,5085,Tsunduru
28,511,5293,Tuggali
28,746,4890,Tuni
28,515,5154,Udayagiri
28,746,4912,U.Kothapalli
28,517,5152,Ulavapadu
28,523,4976,Undi
28,505,4970,Undrajavaram
28,510,5013,Unguturu
28,748,4962,Unguturu
28,747,4942,Uppalaguptam
28,502,5317,Uravakonda
28,755,5302,Uyyalawada
28,752,5399,Vadamalapet
28,502,5316,Vajrakarur
28,519,4781,Vajrapukotturu
28,752,5192,Vakadu
28,504,5225,Vallur
28,753,5388,Valmikipuram
28,521,4785,Vangara
28,752,5381,Varadaiahpalem
28,791,4733,Vararamachandrapuram
28,515,5155,Varikuntapadu
28,749,4990,Vatsavai
28,506,5080,Vatticherukuru
28,503,5397,Vedurukuppam
28,504,5242,Veeraballe
28,743,4769,Veeraghattam
28,504,5222,Veerapunayunipalle
28,523,4983,Veeravasaram
28,749,4994,Veerullapadu
28,748,4734,Velairpadu
28,751,5041,Veldurthy
28,511,5278,Veldurthy
28,790,5135,Veligandla
28,755,5282,Velugodu
28,504,5233,Vempalli
28,504,5220,Vemula
28,750,5087,Vemuru
28,515,5182,Venkatachalam
28,752,5187,Venkatagiri
28,503,5424,Venkatagirikota
28,521,4832,Vepada
28,750,5124,Vetapalem
28,502,5308,Vidapanakal
28,515,5168,Vidavalur
28,503,5405,Vijayapuram
28,749,5010,Vijayawada Central
28,749,6863,Vijayawada East
28,749,6864,Vijayawada North
28,749,5011,Vijayawada (Rural)
28,749,6865,Vijayawada West
28,515,5161,Vinjamur
28,751,5062,Vinukonda
28,520,4866,Visakhapatnam (Rural)
28,749,5000,Vissannapeta
28,521,4836,Vizianagaram Rural
28,521,7431,Vizianagaram Urban
28,517,5147,Voletivaripalem
28,504,5228,Vontimitta
28,510,5027,Vuyyuru
28,503,5430,Yadamarri
28,502,5312,Yadiki
28,750,5107,Yeddana Pudi
28,523,4989,Yelamanchili
28,744,4879,Yelamanchili
28,746,4893,Yeleswaram
28,502,5327,Yellanur
28,511,5254,Yemmiganur
28,752,5377,Yerpedu
28,790,5097,Yerragondapalem
28,504,5223,Yerraguntla
28,752,5374,Yerravaripalem
28,791,6063,Yetapaka
28,791,4886,Y. Ramavaram
28,517,5142,Zarugumalli
12,243,6087,Aalo Hq
12,230,1720,Anelih
12,230,1718,Anini
12,243,6588,Bagra Circle
12,242,6564,Balemu Circle
12,237,1592,Balijan Adc
12,231,1586,Bameng Adc
12,787,6102,Bana Eac
12,237,6603,Banderdewa Circle
12,239,6596,Bari Basip Circle
12,241,1620,Baririjo Circle
12,724,1636,Basar Adc
12,242,6561,Bhalukpong Eac
12,232,1652,Bilat Circle
12,679,1643,Boleng Adc
12,242,6568,Bomdila Hq
12,238,6557,Bongkhar Circle
12,229,1683,Bordumsa Adc
12,239,6594,Borduria Circle
12,237,6013,Borum
12,242,6847,Buragaon Eac
12,628,1739,Chaglagam Circle
12,677,1709,Chambang Circle
12,229,1671,Changlang Hq
12,231,1590,Chayangtajo Adc
12,241,1614,Chetam Peer Yapu Circle
12,678,1731,Chongkham Eac
12,239,1687,Dadam Circle
12,230,6591,Dambuen Circle
12,235,1725,Dambuk Adc
12,233,1714,Damin Circle
12,241,1615,Daporijo Hq
12,243,1628,Darak Circle
12,724,1637,Daring Circle
12,231,7021,Debeyar Co Circle
12,786,6842,Deed Circle
12,239,1684,Deomali Adc
12,235,6569,Desali Circle
12,242,1566,Dirang Adc
12,723,6099,Dissing Passo Circle
12,229,1682,Diyun Eac
12,237,1598,Doimukh Sdo
12,718,1701,Dollungmukh Circle
12,238,6550,Dudunghar Circle
12,241,1617,Dumporijo Adc
12,230,1719,Etalin
12,677,1710,Gangte Circle
12,240,1665,Geku Eac
12,240,1661,Gelling Circle
12,719,1638,Gensi Eac
12,718,6559,Gepen Circle
12,241,1613,Giba Circle
12,241,6551,Gite Ripa Circle
12,628,1738,Goiliang Circle
12,237,6602,Gumto Circle
12,231,1588,Gyawe Purang Circle
12,628,1743,Hawai Hq
12,628,1736,Hayuliang Adc
12,235,6075,Hunli Sdo
12,237,6604,Itanagar Eac
12,229,6582,Jairampur Adc
12,242,6563,Jamiri Circle
12,238,1561,Jang Adc
12,240,1664,Jengging Circle
12,679,6606,Jomlo Mobuk Circle
12,237,6601,Kakoi Circle
12,242,1570,Kalaktang Adc
12,243,6585,Kamba Adc
12,242,6567,Kamengbari Doimara Circle
12,718,1700,Kamporijo Circle
12,719,6572,Kangku Circle
12,229,6608,Kantang Circle
12,666,1688,Kanubari Adc
12,240,1668,Katan Circle
12,679,1627,Kaying Eac
12,679,1646,Kebang Circle
12,229,1681,Kharsang Circle
12,231,6605,Khenawa Circle
12,229,1669,Khimiyang Eac
12,239,1686,Khonsa Hq
12,628,1741,Kibithoo Circle
